,open,high,low,close,volume
2025-07-28 11:40:00,214.43,214.47,214.35,214.42,208036
2025-07-28 11:45:00,214.425,214.51,214.42,214.47,143922
2025-07-28 11:50:00,214.465,214.55,214.4459,214.485,178185
2025-07-28 11:55:00,214.48,214.52,214.4,214.43,251446
2025-07-28 12:00:00,214.435,214.51,214.29,214.485,236993
2025-07-28 12:05:00,214.485,214.54,214.465,214.48,209975
2025-07-28 12:10:00,214.47,214.52,214.405,214.5,137942
2025-07-28 12:15:00,214.5,214.685,214.49,214.67,240712
2025-07-28 12:20:00,214.665,214.75,214.4796,214.5,244834
2025-07-28 12:25:00,214.5084,214.58,214.45,214.54,178466
2025-07-28 12:30:00,214.535,214.5799,214.4,214.46,713744
2025-07-28 12:35:00,214.46,214.475,214.225,214.335,271803
2025-07-28 12:40:00,214.34,214.44,214.3,214.36,159708
2025-07-28 12:45:00,214.3601,214.37,214.225,214.2848,159458
2025-07-28 12:50:00,214.2899,214.34,214.235,214.3,111976
2025-07-28 12:55:00,214.31,214.4,214.31,214.33,145494
2025-07-28 13:00:00,214.34,214.43,214.31,214.42,168541
2025-07-28 13:05:00,214.42,214.45,214.16,214.18,216948
2025-07-28 13:10:00,214.19,214.2064,213.98,214.04,313223
2025-07-28 13:15:00,214.04,214.04,213.62,213.71,416634
2025-07-28 13:20:00,213.68,213.7398,213.415,213.45,970212
2025-07-28 13:25:00,213.443,213.71,213.44,213.645,326869
2025-07-28 13:30:00,213.635,213.845,213.62,213.83,251817
2025-07-28 13:35:00,213.83,213.89,213.8,213.835,147265
2025-07-28 13:40:00,213.84,213.9587,213.8353,213.85,214404
2025-07-28 13:45:00,213.83,214.01,213.82,213.88,224814
2025-07-28 13:50:00,213.87,214.02,213.87,213.8748,162477
2025-07-28 13:55:00,213.875,213.9,213.725,213.735,197357
2025-07-28 14:00:00,213.735,213.92,213.73,213.9099,192660
2025-07-28 14:05:00,213.9,213.93,213.6703,213.8265,203907
2025-07-28 14:10:00,213.82,213.9399,213.762,213.91,221117
2025-07-28 14:15:00,213.8996,213.983,213.82,213.89,198166
2025-07-28 14:20:00,213.9,213.9076,213.755,213.79,178357
2025-07-28 14:25:00,213.795,213.82,213.71,213.8,200252
2025-07-28 14:30:00,213.82,213.83,213.57,213.61,233022
2025-07-28 14:35:00,213.6,213.65,213.5,213.61,249744
2025-07-28 14:40:00,213.62,213.73,213.44,213.46,389593
2025-07-28 14:45:00,213.46,213.59,213.42,213.51,294276
2025-07-28 14:50:00,213.52,213.61,213.21,213.32,317889
2025-07-28 14:55:00,213.32,213.3864,213.06,213.12,419215
2025-07-28 15:00:00,213.14,213.26,213.08,213.16,339216
2025-07-28 15:05:00,213.16,213.235,213.06,213.125,296874
2025-07-28 15:10:00,213.13,213.33,213.12,213.31,251290
2025-07-28 15:15:00,213.32,213.37,213.1101,213.1367,223130
2025-07-28 15:20:00,213.1347,213.29,213.085,213.255,818409
2025-07-28 15:25:00,213.26,213.4364,213.2,213.43,564608
2025-07-28 15:30:00,213.42,213.57,213.32,213.498,428201
2025-07-28 15:35:00,213.495,213.75,213.49,213.75,338482
2025-07-28 15:40:00,213.76,213.87,213.73,213.845,314295
2025-07-28 15:45:00,213.84,213.85,213.65,213.7,291553
2025-07-28 15:50:00,213.7,214.1,213.68,213.97,822753
2025-07-28 15:55:00,213.98,214.05,213.83,214.04,1782365
2025-07-28 16:00:00,214.03,214.06,213.85,214.05,11540997
2025-07-28 16:05:00,214.05,214.1,213.9,213.93,22827
2025-07-28 16:10:00,214.05,214.05,213.91,213.95,37646
2025-07-28 16:15:00,214.05,214.05,213.91,213.97,2826
2025-07-28 16:20:00,214.05,214.05,213.91,214.0,13920
2025-07-28 16:25:00,213.96,214.05,213.85,213.87,17742
2025-07-28 16:30:00,213.88,214.05,213.86,213.9,33777
2025-07-28 16:35:00,213.986,214.0,213.86,213.89,3527
2025-07-28 16:40:00,213.95,216.1894,209.873,213.9,4515
2025-07-28 16:45:00,213.9,224.1021,199.7357,213.89,5589
2025-07-28 16:50:00,213.86,224.1021,209.873,213.85,4719
2025-07-28 16:55:00,213.86,224.1789,201.7418,201.7418,8921
2025-07-28 17:00:00,201.7684,214.0,201.7684,214.0,5126
2025-07-28 17:05:00,214.0,214.05,213.9,214.03,11541
2025-07-28 17:10:00,213.9,214.03,201.7684,213.99,2509
2025-07-28 17:15:00,213.95,214.0,213.95,213.9697,1771
2025-07-28 17:20:00,213.97,214.03,213.96,213.96,1459
2025-07-28 17:25:00,213.96,214.0,209.873,213.96,2820
2025-07-28 17:30:00,213.96,214.0,213.95,213.99,1227
2025-07-28 17:35:00,213.99,214.0,213.95,213.98,559
2025-07-28 17:40:00,213.99,214.05,213.95,213.95,1159120
2025-07-28 17:45:00,213.98,213.995,213.93,213.9392,1838
2025-07-28 17:50:00,213.93,213.95,213.9,213.92,1351
2025-07-28 17:55:00,213.91,213.95,213.9,213.93,3071
2025-07-28 18:00:00,213.93,214.0,213.92,213.9512,3301
2025-07-28 18:05:00,213.99,214.0,213.95,213.96,1190
2025-07-28 18:10:00,213.96,214.0,213.95,213.95,407
2025-07-28 18:15:00,213.95,214.08,213.95,214.06,6547
2025-07-28 18:20:00,214.06,214.07,214.05,214.07,1610
2025-07-28 18:25:00,214.0501,214.06,214.05,214.06,1614
2025-07-28 18:30:00,214.06,214.08,214.0,214.05,1280
2025-07-28 18:35:00,214.02,214.09,214.0,214.06,4595
2025-07-28 18:40:00,214.07,214.09,213.95,214.05,1083
2025-07-28 18:45:00,214.05,214.12,214.05,214.06,1329
2025-07-28 18:50:00,214.05,214.28,214.05,214.28,8950
2025-07-28 18:55:00,214.12,214.28,214.12,214.15,3666
2025-07-28 19:00:00,214.21,214.21,214.12,214.1319,2632
2025-07-28 19:05:00,214.13,214.2,214.12,214.2,305
2025-07-28 19:10:00,214.14,214.2,214.12,214.18,5228
2025-07-28 19:15:00,214.15,214.1796,214.12,214.15,2524
2025-07-28 19:20:00,214.1201,214.15,214.12,214.12,3357
2025-07-28 19:25:00,214.12,214.15,214.12,214.12,1431
2025-07-28 19:30:00,214.1205,214.15,214.11,214.15,1929
2025-07-28 19:35:00,214.15,214.15,214.12,214.13,811
2025-07-28 19:40:00,214.1309,214.15,214.13,214.1305,1646
2025-07-28 19:45:00,214.15,214.15,214.11,214.15,2703
2025-07-28 19:50:00,214.11,214.15,214.11,214.13,2276
2025-07-28 19:55:00,214.11,214.14,214.11,214.12,5518
